texto,sentimiento,compañía
Demasiado caro para un servicio tan malo el de @PersonalPy,negativo,@PersonalPy
Ya hice varios reclamos a @ClaroPY y nadie responde,negativo,@ClaroPY
El precio de @TigoParaguay está dentro del promedio,neutro,@TigoParaguay
"Muy buena cobertura en mi zona, gracias @ClaroPY",positivo,@ClaroPY
Estoy harto de los cortes con @ClaroPY,negativo,@ClaroPY
"No me molesta usar @ClaroPY, pero tampoco me entusiasma",neutro,@ClaroPY
Me quedé sin servicio de @TigoParaguay justo en una videollamada,negativo,@TigoParaguay
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
Estoy satisfecho con la velocidad de respuesta de @ClaroPY,positivo,@ClaroPY
"No me puedo quejar demasiado de @ClaroPY, es aceptable",neutro,@ClaroPY
"@PersonalPy mejora constantemente su red, lo noto cada mes",positivo,@PersonalPy
Servicio muy profesional el de @TigoParaguay,positivo,@TigoParaguay
Cada vez que llamo a @ClaroPY me dejan esperando horas,negativo,@ClaroPY
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
Confío plenamente en el servicio de @PersonalPy,positivo,@PersonalPy
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
Cobertura muy deficiente la de @ClaroPY,negativo,@ClaroPY
El precio de @PersonalPy está dentro del promedio,neutro,@PersonalPy
"Con @TigoParaguay tengo lo que espero, nada más",neutro,@TigoParaguay
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
"No hay mucha diferencia con otras, @ClaroPY es común",neutro,@ClaroPY
@PersonalPy tiene la mejor relación calidad-precio,positivo,@PersonalPy
Pésima experiencia con el soporte técnico de @ClaroPY,negativo,@ClaroPY
Me quedé sin servicio de @TigoParaguay justo en una videollamada,negativo,@TigoParaguay
Cada mes tengo problemas con la facturación de @ClaroPY,negativo,@ClaroPY
El plan prometía mucho y @ClaroPY no cumplió nada,negativo,@ClaroPY
@TigoParaguay cumple lo justo con lo que promete,neutro,@TigoParaguay
"Pésimo servicio de @ClaroPY, sin señal todo el día",negativo,@ClaroPY
@ClaroPY tiene el mejor internet que he probado,positivo,@ClaroPY
Con @ClaroPY tengo días buenos y otros no tanto,neutro,@ClaroPY
Ya hice varios reclamos a @PersonalPy y nadie responde,negativo,@PersonalPy
En mi zona @TigoParaguay no se destaca ni falla mucho,neutro,@TigoParaguay
Desde que contraté @ClaroPY todo es un desastre,negativo,@ClaroPY
Nunca tienen solución para mis problemas en @PersonalPy,negativo,@PersonalPy
Con @TigoParaguay no he tenido novedades importantes,neutro,@TigoParaguay
"@PersonalPy podría mejorar, pero no me ha ido mal",neutro,@PersonalPy
Las actualizaciones de la app de @TigoParaguay mejoran mucho la experiencia,positivo,@TigoParaguay
La atención al cliente de @ClaroPY fue impecable,positivo,@ClaroPY
Con @TigoParaguay no he tenido novedades importantes,neutro,@TigoParaguay
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
"@PersonalPy funciona normal, nada fuera de lo común",neutro,@PersonalPy
En mi zona @TigoParaguay funciona mejor que las demás,positivo,@TigoParaguay
@PersonalPy me cobra de más cada mes,negativo,@PersonalPy
Me cambié a @ClaroPY y fue la mejor decisión,positivo,@ClaroPY
Las facturas de @PersonalPy siempre vienen claras y sin errores,positivo,@PersonalPy
Nunca tienen solución para mis problemas en @PersonalPy,negativo,@PersonalPy
"@TigoParaguay es una estafa, nada funciona bien",negativo,@TigoParaguay
"Todo perfecto con @ClaroPY, buena señal y atención",positivo,@ClaroPY
@PersonalPy es ideal para videollamadas y juegos online,positivo,@PersonalPy
Desde que contraté @PersonalPy todo es un desastre,negativo,@PersonalPy
Ningún problema con @TigoParaguay en más de un año,positivo,@TigoParaguay
Cada vez que llamo a @TigoParaguay me dejan esperando horas,negativo,@TigoParaguay
@ClaroPY tiene días buenos y otros no tanto,neutro,@ClaroPY
Nunca más vuelvo a contratar @PersonalPy,negativo,@PersonalPy
La app de @ClaroPY no sirve para nada,negativo,@ClaroPY
Cobertura muy deficiente la de @PersonalPy,negativo,@PersonalPy
@TigoParaguay me resulta útil aunque algo limitada,neutro,@TigoParaguay
Mi conexión con @ClaroPY siempre es rápida,positivo,@ClaroPY
Llevo más de una semana esperando que @PersonalPy me llame,negativo,@PersonalPy
Con @ClaroPY tengo días buenos y otros no tanto,neutro,@ClaroPY
"Servicio estándar de @ClaroPY, cumple con lo básico",neutro,@ClaroPY
No tengo quejas ni elogios por @ClaroPY,neutro,@ClaroPY
Cada mes tengo problemas con la facturación de @TigoParaguay,negativo,@TigoParaguay
La conexión de @TigoParaguay es decente para tareas básicas,neutro,@TigoParaguay
Nunca más vuelvo a contratar @PersonalPy,negativo,@PersonalPy
Es un servicio aceptable el de @TigoParaguay,neutro,@TigoParaguay
En mi zona @TigoParaguay no se destaca ni falla mucho,neutro,@TigoParaguay
Desde que contraté @PersonalPy todo es un desastre,negativo,@PersonalPy
"No hay mucha diferencia con otras, @PersonalPy es común",neutro,@PersonalPy
"No me puedo quejar demasiado de @TigoParaguay, es aceptable",neutro,@TigoParaguay
Me quedé sin servicio de @PersonalPy justo en una videollamada,negativo,@PersonalPy
"@TigoParaguay es una estafa, nada funciona bien",negativo,@TigoParaguay
El router que me dio @TigoParaguay vive fallando,negativo,@TigoParaguay
Decepcionado completamente con @TigoParaguay,negativo,@TigoParaguay
Muy buen trato por parte de los técnicos de @ClaroPY,positivo,@ClaroPY
Mi experiencia con @TigoParaguay es neutra hasta ahora,neutro,@TigoParaguay
La señal de @TigoParaguay es inestable todo el tiempo,negativo,@TigoParaguay
"Estoy considerando cambiar de proveedor, @PersonalPy no cumple",negativo,@PersonalPy
Desde que contraté @TigoParaguay todo es un desastre,negativo,@TigoParaguay
"@PersonalPy funciona normal, nada fuera de lo común",neutro,@PersonalPy
"Todo depende del lugar, con @TigoParaguay es muy variable",neutro,@TigoParaguay
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
En mi zona @PersonalPy no se destaca ni falla mucho,neutro,@PersonalPy
"No me puedo quejar demasiado de @PersonalPy, es aceptable",neutro,@PersonalPy
Ya hice varios reclamos a @PersonalPy y nadie responde,negativo,@PersonalPy
"Algunas zonas tienen buena señal, otras no tanto con @ClaroPY",neutro,@ClaroPY
"@PersonalPy es una estafa, nada funciona bien",negativo,@PersonalPy
Cobertura muy deficiente la de @PersonalPy,negativo,@PersonalPy
"Estoy considerando cambiar de proveedor, @PersonalPy no cumple",negativo,@PersonalPy
Todo el barrio tiene problemas con @PersonalPy,negativo,@PersonalPy
"En general el servicio de @ClaroPY es estable, aunque sin destacar",neutro,@ClaroPY
@ClaroPY es ideal para videollamadas y juegos online,positivo,@ClaroPY
"@TigoParaguay funciona normal, nada fuera de lo común",neutro,@TigoParaguay
La señal de @ClaroPY es inestable todo el tiempo,negativo,@ClaroPY
Las promociones de @TigoParaguay son muy convenientes,positivo,@TigoParaguay
Confío plenamente en el servicio de @PersonalPy,positivo,@PersonalPy
"No me puedo quejar demasiado de @PersonalPy, es aceptable",neutro,@PersonalPy
"Muy buena cobertura en mi zona, gracias @ClaroPY",positivo,@ClaroPY
El precio de @ClaroPY está dentro del promedio,neutro,@ClaroPY
@TigoParaguay tiene días buenos y otros no tanto,neutro,@TigoParaguay
La atención al cliente de @PersonalPy fue impecable,positivo,@PersonalPy
En mi zona @ClaroPY funciona mejor que las demás,positivo,@ClaroPY
Nunca más vuelvo a contratar @ClaroPY,negativo,@ClaroPY
@TigoParaguay tiene el mejor internet que he probado,positivo,@TigoParaguay
"Pésimo servicio de @ClaroPY, sin señal todo el día",negativo,@ClaroPY
El precio de @TigoParaguay está dentro del promedio,neutro,@TigoParaguay
Estoy feliz con el rendimiento de @ClaroPY,positivo,@ClaroPY
En mi zona @ClaroPY funciona mejor que las demás,positivo,@ClaroPY
"Excelente servicio de @TigoParaguay, muy satisfecho",positivo,@TigoParaguay
Estoy harto de los cortes con @ClaroPY,negativo,@ClaroPY
Pésima experiencia con el soporte técnico de @TigoParaguay,negativo,@TigoParaguay
"Servicio estándar de @PersonalPy, cumple con lo básico",neutro,@PersonalPy
Pésima experiencia con el soporte técnico de @TigoParaguay,negativo,@TigoParaguay
"Puedo usar mi celular con @TigoParaguay, pero no es nada especial",neutro,@TigoParaguay
Servicio muy profesional el de @ClaroPY,positivo,@ClaroPY
Muy buen trato por parte de los técnicos de @TigoParaguay,positivo,@TigoParaguay
No tengo quejas ni elogios por @ClaroPY,neutro,@ClaroPY
Las actualizaciones de la app de @ClaroPY mejoran mucho la experiencia,positivo,@ClaroPY
"Gracias @PersonalPy, resolvieron mi problema muy rápido",positivo,@PersonalPy
@ClaroPY me da más dolores de cabeza que soluciones,negativo,@ClaroPY
La conexión de @TigoParaguay es decente para tareas básicas,neutro,@TigoParaguay
"No hay mucha diferencia con otras, @PersonalPy es común",neutro,@PersonalPy
El precio de @TigoParaguay está dentro del promedio,neutro,@TigoParaguay
Cada vez que llamo a @TigoParaguay me dejan esperando horas,negativo,@TigoParaguay
"En general el servicio de @ClaroPY es estable, aunque sin destacar",neutro,@ClaroPY
Confío plenamente en el servicio de @TigoParaguay,positivo,@TigoParaguay
@TigoParaguay es ideal para videollamadas y juegos online,positivo,@TigoParaguay
@PersonalPy tiene la mejor relación calidad-precio,positivo,@PersonalPy
"@TigoParaguay podría mejorar, pero no me ha ido mal",neutro,@TigoParaguay
En mi zona @ClaroPY funciona mejor que las demás,positivo,@ClaroPY
@TigoParaguay no responde mis reclamos desde hace días,negativo,@TigoParaguay
La conexión con @PersonalPy es aceptable en general,neutro,@PersonalPy
"Todo depende del lugar, con @ClaroPY es muy variable",neutro,@ClaroPY
"No hay mucha diferencia con otras, @TigoParaguay es común",neutro,@TigoParaguay
"Estoy considerando cambiar de proveedor, @TigoParaguay no cumple",negativo,@TigoParaguay
Uso @ClaroPY solo para cosas simples y me alcanza,neutro,@ClaroPY
"Excelente servicio de @ClaroPY, muy satisfecho",positivo,@ClaroPY
El router que me dio @TigoParaguay vive fallando,negativo,@TigoParaguay
La conexión con @PersonalPy es aceptable en general,neutro,@PersonalPy
Todo funciona muy bien desde que estoy con @ClaroPY,positivo,@ClaroPY
"No me molesta usar @TigoParaguay, pero tampoco me entusiasma",neutro,@TigoParaguay
Con @TigoParaguay el internet se cae cada rato,negativo,@TigoParaguay
"Algunas zonas tienen buena señal, otras no tanto con @PersonalPy",neutro,@PersonalPy
@ClaroPY cumple lo justo con lo que promete,neutro,@ClaroPY
Llevo más de una semana esperando que @ClaroPY me llame,negativo,@ClaroPY
La app de @ClaroPY no sirve para nada,negativo,@ClaroPY
Cobertura regular de @TigoParaguay en zonas rurales,neutro,@TigoParaguay
@TigoParaguay tiene la mejor relación calidad-precio,positivo,@TigoParaguay
Con @TigoParaguay tengo buena señal hasta en viajes largos,positivo,@TigoParaguay
"Excelente servicio de @TigoParaguay, muy satisfecho",positivo,@TigoParaguay
Estoy harto de los cortes con @ClaroPY,negativo,@ClaroPY
Mi conexión con @TigoParaguay siempre es rápida,positivo,@TigoParaguay
Uso @TigoParaguay solo para cosas simples y me alcanza,neutro,@TigoParaguay
Decepcionado completamente con @ClaroPY,negativo,@ClaroPY
El router que me dio @TigoParaguay vive fallando,negativo,@TigoParaguay
"No me puedo quejar demasiado de @PersonalPy, es aceptable",neutro,@PersonalPy
Mi experiencia con @TigoParaguay es neutra hasta ahora,neutro,@TigoParaguay
En mi zona @ClaroPY funciona mejor que las demás,positivo,@ClaroPY
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
El precio de @PersonalPy está dentro del promedio,neutro,@PersonalPy
Llevo días sin internet gracias a @ClaroPY,negativo,@ClaroPY
"@ClaroPY mejora constantemente su red, lo noto cada mes",positivo,@ClaroPY
Todo el barrio tiene problemas con @ClaroPY,negativo,@ClaroPY
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
@TigoParaguay da soluciones rápidas incluso en fin de semana,positivo,@TigoParaguay
En mi zona @ClaroPY no se destaca ni falla mucho,neutro,@ClaroPY
Llevo más de una semana esperando que @ClaroPY me llame,negativo,@ClaroPY
No noto diferencia importante desde que estoy con @PersonalPy,neutro,@PersonalPy
La conexión con @PersonalPy es aceptable en general,neutro,@PersonalPy
"No tuve grandes problemas con @TigoParaguay, pero tampoco sorpresas",neutro,@TigoParaguay
No noto diferencia importante desde que estoy con @PersonalPy,neutro,@PersonalPy
Siempre resuelven mis consultas de forma amable en @TigoParaguay,positivo,@TigoParaguay
@ClaroPY cumple lo justo con lo que promete,neutro,@ClaroPY
"@TigoParaguay mejora constantemente su red, lo noto cada mes",positivo,@TigoParaguay
En mi zona @PersonalPy funciona mejor que las demás,positivo,@PersonalPy
"No tuve grandes problemas con @PersonalPy, pero tampoco sorpresas",neutro,@PersonalPy
"Estoy considerando cambiar de proveedor, @TigoParaguay no cumple",negativo,@TigoParaguay
Nunca tienen solución para mis problemas en @ClaroPY,negativo,@ClaroPY
"Gracias @ClaroPY, resolvieron mi problema muy rápido",positivo,@ClaroPY
"No me puedo quejar demasiado de @ClaroPY, es aceptable",neutro,@ClaroPY
"@TigoParaguay tiene sus altibajos, pero no es tan mala",neutro,@TigoParaguay
Estoy satisfecho con la velocidad de respuesta de @PersonalPy,positivo,@PersonalPy
"Todo depende del lugar, con @TigoParaguay es muy variable",neutro,@TigoParaguay
Es un servicio aceptable el de @TigoParaguay,neutro,@TigoParaguay
Mi experiencia con @ClaroPY es neutra hasta ahora,neutro,@ClaroPY
"@TigoParaguay mejora constantemente su red, lo noto cada mes",positivo,@TigoParaguay
@TigoParaguay tiene el mejor internet que he probado,positivo,@TigoParaguay
"No me puedo quejar demasiado de @ClaroPY, es aceptable",neutro,@ClaroPY
Todo funciona muy bien desde que estoy con @TigoParaguay,positivo,@TigoParaguay
Las actualizaciones de la app de @PersonalPy mejoran mucho la experiencia,positivo,@PersonalPy
Las actualizaciones de la app de @ClaroPY mejoran mucho la experiencia,positivo,@ClaroPY
Ya hice varios reclamos a @ClaroPY y nadie responde,negativo,@ClaroPY
@TigoParaguay no responde mis reclamos desde hace días,negativo,@TigoParaguay
"No es la mejor ni la peor, @PersonalPy está bien",neutro,@PersonalPy
La app de @PersonalPy funciona aunque podría mejorar,neutro,@PersonalPy
La conexión de @PersonalPy es decente para tareas básicas,neutro,@PersonalPy
La conexión con @PersonalPy es aceptable en general,neutro,@PersonalPy
La conexión de @ClaroPY es decente para tareas básicas,neutro,@ClaroPY
Estoy feliz con el rendimiento de @ClaroPY,positivo,@ClaroPY
Ya hice varios reclamos a @PersonalPy y nadie responde,negativo,@PersonalPy
Cobertura regular de @TigoParaguay en zonas rurales,neutro,@TigoParaguay
@ClaroPY tiene la mejor relación calidad-precio,positivo,@ClaroPY
Es un servicio aceptable el de @ClaroPY,neutro,@ClaroPY
@TigoParaguay tiene la mejor relación calidad-precio,positivo,@TigoParaguay
@PersonalPy cumple lo justo con lo que promete,neutro,@PersonalPy
"No puedo confiar en @TigoParaguay, siempre falla",negativo,@TigoParaguay
"No es la mejor ni la peor, @PersonalPy está bien",neutro,@PersonalPy
Mi conexión con @PersonalPy siempre es rápida,positivo,@PersonalPy
@TigoParaguay no responde mis reclamos desde hace días,negativo,@TigoParaguay
"No me puedo quejar demasiado de @PersonalPy, es aceptable",neutro,@PersonalPy
"No tuve grandes problemas con @TigoParaguay, pero tampoco sorpresas",neutro,@TigoParaguay
"@TigoParaguay podría mejorar, pero no me ha ido mal",neutro,@TigoParaguay
@TigoParaguay me da más dolores de cabeza que soluciones,negativo,@TigoParaguay
"Algunas zonas tienen buena señal, otras no tanto con @ClaroPY",neutro,@ClaroPY
Ya hice varios reclamos a @ClaroPY y nadie responde,negativo,@ClaroPY
Con @ClaroPY tengo días buenos y otros no tanto,neutro,@ClaroPY
"Muy buena cobertura en mi zona, gracias @TigoParaguay",positivo,@TigoParaguay
Los cortes de servicio son frecuentes con @ClaroPY,negativo,@ClaroPY
"Todo depende del lugar, con @PersonalPy es muy variable",neutro,@PersonalPy
@ClaroPY me resulta útil aunque algo limitada,neutro,@ClaroPY
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
No tengo quejas ni elogios por @ClaroPY,neutro,@ClaroPY
Gran cobertura y atención personalizada de @PersonalPy,positivo,@PersonalPy
Nunca tienen solución para mis problemas en @TigoParaguay,negativo,@TigoParaguay
Malísima atención al cliente en @PersonalPy,negativo,@PersonalPy
"Todo perfecto con @ClaroPY, buena señal y atención",positivo,@ClaroPY
Me quedé sin servicio de @ClaroPY justo en una videollamada,negativo,@ClaroPY
Las actualizaciones de la app de @TigoParaguay mejoran mucho la experiencia,positivo,@TigoParaguay
Mi experiencia con @ClaroPY es neutra hasta ahora,neutro,@ClaroPY
"@PersonalPy mejora constantemente su red, lo noto cada mes",positivo,@PersonalPy
Mi experiencia con @ClaroPY es neutra hasta ahora,neutro,@ClaroPY
@PersonalPy es ideal para videollamadas y juegos online,positivo,@PersonalPy
El precio de @TigoParaguay está dentro del promedio,neutro,@TigoParaguay
Es un servicio aceptable el de @PersonalPy,neutro,@PersonalPy
Servicio muy profesional el de @PersonalPy,positivo,@PersonalPy
Todo el barrio tiene problemas con @TigoParaguay,negativo,@TigoParaguay
Mi experiencia con @ClaroPY es neutra hasta ahora,neutro,@ClaroPY
Todo el barrio tiene problemas con @PersonalPy,negativo,@PersonalPy
Las promociones de @TigoParaguay son muy convenientes,positivo,@TigoParaguay
La conexión con @TigoParaguay es aceptable en general,neutro,@TigoParaguay
La app de @ClaroPY funciona aunque podría mejorar,neutro,@ClaroPY
"Con @PersonalPy tengo lo que espero, nada más",neutro,@PersonalPy
"Gracias @TigoParaguay, resolvieron mi problema muy rápido",positivo,@TigoParaguay
@PersonalPy me da más dolores de cabeza que soluciones,negativo,@PersonalPy
@TigoParaguay no responde mis reclamos desde hace días,negativo,@TigoParaguay
@ClaroPY tiene la mejor relación calidad-precio,positivo,@ClaroPY
Es un servicio aceptable el de @ClaroPY,neutro,@ClaroPY
El plan prometía mucho y @PersonalPy no cumplió nada,negativo,@PersonalPy
Servicio muy profesional el de @PersonalPy,positivo,@PersonalPy
No tengo quejas ni elogios por @ClaroPY,neutro,@ClaroPY
Llevo días sin internet gracias a @PersonalPy,negativo,@PersonalPy
La señal de @TigoParaguay es inestable todo el tiempo,negativo,@TigoParaguay
En mi zona @ClaroPY funciona mejor que las demás,positivo,@ClaroPY
El internet de @PersonalPy no se cae nunca,positivo,@PersonalPy
Muy buen trato por parte de los técnicos de @TigoParaguay,positivo,@TigoParaguay
"@TigoParaguay es una estafa, nada funciona bien",negativo,@TigoParaguay
"En general el servicio de @TigoParaguay es estable, aunque sin destacar",neutro,@TigoParaguay
"@TigoParaguay es una estafa, nada funciona bien",negativo,@TigoParaguay
Con @TigoParaguay tengo buena señal hasta en viajes largos,positivo,@TigoParaguay
Nunca tienen solución para mis problemas en @ClaroPY,negativo,@ClaroPY
Estoy satisfecho con la velocidad de respuesta de @TigoParaguay,positivo,@TigoParaguay
@ClaroPY tiene días buenos y otros no tanto,neutro,@ClaroPY
Las promociones de @ClaroPY son muy convenientes,positivo,@ClaroPY
Las actualizaciones de la app de @TigoParaguay mejoran mucho la experiencia,positivo,@TigoParaguay
Me quedé sin servicio de @TigoParaguay justo en una videollamada,negativo,@TigoParaguay
"Estoy considerando cambiar de proveedor, @TigoParaguay no cumple",negativo,@TigoParaguay
No noto diferencia importante desde que estoy con @PersonalPy,neutro,@PersonalPy
"No me molesta usar @TigoParaguay, pero tampoco me entusiasma",neutro,@TigoParaguay
Pésima experiencia con el soporte técnico de @TigoParaguay,negativo,@TigoParaguay
Cobertura muy deficiente la de @TigoParaguay,negativo,@TigoParaguay
Estoy harto de los cortes con @TigoParaguay,negativo,@TigoParaguay
La señal de @TigoParaguay es inestable todo el tiempo,negativo,@TigoParaguay
Mi conexión con @PersonalPy siempre es rápida,positivo,@PersonalPy
@ClaroPY tiene la mejor relación calidad-precio,positivo,@ClaroPY
Cada vez que llamo a @TigoParaguay me dejan esperando horas,negativo,@TigoParaguay
Mi conexión con @PersonalPy siempre es rápida,positivo,@PersonalPy
Cobertura regular de @PersonalPy en zonas rurales,neutro,@PersonalPy
@TigoParaguay me sorprendió con su velocidad,positivo,@TigoParaguay
@ClaroPY da soluciones rápidas incluso en fin de semana,positivo,@ClaroPY
Es un servicio aceptable el de @TigoParaguay,neutro,@TigoParaguay
"No me molesta usar @ClaroPY, pero tampoco me entusiasma",neutro,@ClaroPY
@ClaroPY no responde mis reclamos desde hace días,negativo,@ClaroPY
@ClaroPY me sorprendió con su velocidad,positivo,@ClaroPY
"@PersonalPy es una estafa, nada funciona bien",negativo,@PersonalPy
"Todo depende del lugar, con @TigoParaguay es muy variable",neutro,@TigoParaguay
La app de @ClaroPY no sirve para nada,negativo,@ClaroPY
"@ClaroPY funciona normal, nada fuera de lo común",neutro,@ClaroPY
"@ClaroPY es una estafa, nada funciona bien",negativo,@ClaroPY
Los cortes de servicio son frecuentes con @TigoParaguay,negativo,@TigoParaguay
"Todo depende del lugar, con @PersonalPy es muy variable",neutro,@PersonalPy
Ningún problema con @PersonalPy en más de un año,positivo,@PersonalPy
@ClaroPY es ideal para videollamadas y juegos online,positivo,@ClaroPY
Cobertura regular de @TigoParaguay en zonas rurales,neutro,@TigoParaguay
Estoy encantado con la estabilidad de @TigoParaguay,positivo,@TigoParaguay
Me cambié a @PersonalPy y fue la mejor decisión,positivo,@PersonalPy
"Todo perfecto con @PersonalPy, buena señal y atención",positivo,@PersonalPy
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
"Puedo usar mi celular con @PersonalPy, pero no es nada especial",neutro,@PersonalPy
Cada mes tengo problemas con la facturación de @TigoParaguay,negativo,@TigoParaguay
Todo funciona muy bien desde que estoy con @TigoParaguay,positivo,@TigoParaguay
Todo el barrio tiene problemas con @TigoParaguay,negativo,@TigoParaguay
"Todo depende del lugar, con @PersonalPy es muy variable",neutro,@PersonalPy
Las actualizaciones de la app de @TigoParaguay mejoran mucho la experiencia,positivo,@TigoParaguay
El plan prometía mucho y @TigoParaguay no cumplió nada,negativo,@TigoParaguay
"Todo depende del lugar, con @ClaroPY es muy variable",neutro,@ClaroPY
Estoy feliz con el rendimiento de @TigoParaguay,positivo,@TigoParaguay
Llevo días sin internet gracias a @TigoParaguay,negativo,@TigoParaguay
En mi zona @TigoParaguay no se destaca ni falla mucho,neutro,@TigoParaguay
El plan prometía mucho y @PersonalPy no cumplió nada,negativo,@PersonalPy
Todo el barrio tiene problemas con @ClaroPY,negativo,@ClaroPY
Nunca tienen solución para mis problemas en @ClaroPY,negativo,@ClaroPY
"No puedo confiar en @PersonalPy, siempre falla",negativo,@PersonalPy
"Excelente servicio de @PersonalPy, muy satisfecho",positivo,@PersonalPy
@TigoParaguay me cobra de más cada mes,negativo,@TigoParaguay
"Estoy considerando cambiar de proveedor, @PersonalPy no cumple",negativo,@PersonalPy
"Todo perfecto con @TigoParaguay, buena señal y atención",positivo,@TigoParaguay
Estoy satisfecho con la velocidad de respuesta de @ClaroPY,positivo,@ClaroPY
"No tuve grandes problemas con @PersonalPy, pero tampoco sorpresas",neutro,@PersonalPy
Desde que contraté @TigoParaguay todo es un desastre,negativo,@TigoParaguay
El router que me dio @TigoParaguay vive fallando,negativo,@TigoParaguay
Estoy harto de los cortes con @TigoParaguay,negativo,@TigoParaguay
En mi zona @ClaroPY no se destaca ni falla mucho,neutro,@ClaroPY
@TigoParaguay me resulta útil aunque algo limitada,neutro,@TigoParaguay
Mi conexión con @ClaroPY siempre es rápida,positivo,@ClaroPY
Estoy harto de los cortes con @TigoParaguay,negativo,@TigoParaguay
"No puedo confiar en @ClaroPY, siempre falla",negativo,@ClaroPY
@ClaroPY me da más dolores de cabeza que soluciones,negativo,@ClaroPY
"Pésimo servicio de @TigoParaguay, sin señal todo el día",negativo,@TigoParaguay
Malísima atención al cliente en @TigoParaguay,negativo,@TigoParaguay
@PersonalPy tiene la mejor relación calidad-precio,positivo,@PersonalPy
Con @ClaroPY tengo buena señal hasta en viajes largos,positivo,@ClaroPY
Desde que contraté @PersonalPy todo es un desastre,negativo,@PersonalPy
Servicio muy profesional el de @PersonalPy,positivo,@PersonalPy
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
Llevo días sin internet gracias a @PersonalPy,negativo,@PersonalPy
Llevo más de una semana esperando que @PersonalPy me llame,negativo,@PersonalPy
Llevo más de una semana esperando que @PersonalPy me llame,negativo,@PersonalPy
En mi zona @TigoParaguay funciona mejor que las demás,positivo,@TigoParaguay
El precio de @PersonalPy está dentro del promedio,neutro,@PersonalPy
@ClaroPY cumple lo justo con lo que promete,neutro,@ClaroPY
"No es la mejor ni la peor, @TigoParaguay está bien",neutro,@TigoParaguay
"Puedo usar mi celular con @PersonalPy, pero no es nada especial",neutro,@PersonalPy
"@ClaroPY tiene sus altibajos, pero no es tan mala",neutro,@ClaroPY
"Servicio estándar de @PersonalPy, cumple con lo básico",neutro,@PersonalPy
"@PersonalPy funciona normal, nada fuera de lo común",neutro,@PersonalPy
La conexión de @PersonalPy es decente para tareas básicas,neutro,@PersonalPy
Nunca más vuelvo a contratar @TigoParaguay,negativo,@TigoParaguay
El router que me dio @PersonalPy vive fallando,negativo,@PersonalPy
"Servicio estándar de @ClaroPY, cumple con lo básico",neutro,@ClaroPY
Las actualizaciones de la app de @ClaroPY mejoran mucho la experiencia,positivo,@ClaroPY
Decepcionado completamente con @TigoParaguay,negativo,@TigoParaguay
La señal de @PersonalPy es inestable todo el tiempo,negativo,@PersonalPy
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Con @PersonalPy el internet se cae cada rato,negativo,@PersonalPy
En mi zona @PersonalPy funciona mejor que las demás,positivo,@PersonalPy
Todo funciona muy bien desde que estoy con @PersonalPy,positivo,@PersonalPy
Estoy satisfecho con la velocidad de respuesta de @ClaroPY,positivo,@ClaroPY
Las actualizaciones de la app de @PersonalPy mejoran mucho la experiencia,positivo,@PersonalPy
@PersonalPy tiene el mejor internet que he probado,positivo,@PersonalPy
Pude cambiar de plan fácilmente con @TigoParaguay,positivo,@TigoParaguay
@PersonalPy no responde mis reclamos desde hace días,negativo,@PersonalPy
El internet de @ClaroPY no se cae nunca,positivo,@ClaroPY
Decepcionado completamente con @PersonalPy,negativo,@PersonalPy
Decepcionado completamente con @ClaroPY,negativo,@ClaroPY
"Excelente servicio de @ClaroPY, muy satisfecho",positivo,@ClaroPY
@ClaroPY me cobra de más cada mes,negativo,@ClaroPY
Con @PersonalPy no he tenido novedades importantes,neutro,@PersonalPy
Gran cobertura y atención personalizada de @TigoParaguay,positivo,@TigoParaguay
@TigoParaguay no responde mis reclamos desde hace días,negativo,@TigoParaguay
Con @ClaroPY no he tenido novedades importantes,neutro,@ClaroPY
Uso @ClaroPY solo para cosas simples y me alcanza,neutro,@ClaroPY
Demasiado caro para un servicio tan malo el de @PersonalPy,negativo,@PersonalPy
Pésima experiencia con el soporte técnico de @ClaroPY,negativo,@ClaroPY
Desde que contraté @PersonalPy todo es un desastre,negativo,@PersonalPy
Ya hice varios reclamos a @PersonalPy y nadie responde,negativo,@PersonalPy
Pude cambiar de plan fácilmente con @TigoParaguay,positivo,@TigoParaguay
Mi experiencia con @PersonalPy es neutra hasta ahora,neutro,@PersonalPy
Cobertura muy deficiente la de @ClaroPY,negativo,@ClaroPY
Cada mes tengo problemas con la facturación de @ClaroPY,negativo,@ClaroPY
Las facturas de @TigoParaguay siempre vienen claras y sin errores,positivo,@TigoParaguay
Estoy feliz con el rendimiento de @TigoParaguay,positivo,@TigoParaguay
